Nombre_especie,Mes_medicion,Año_medicion,Tramo_medicion,Conteo_individuos
Golosa,ENE,2021,1,2790
Golosa,FEB,2021,1,2677
Golosa,MAR,2021,1,5588
Golosa,ABR,2021,1,7166
Golosa,MAY,2021,1,828
Golosa,JUN,2021,1,848
Golosa,JUL,2021,1,1644
Golosa,AGO,2021,1,2368
Golosa,SEP,2021,1,411
Golosa,OCT,2021,1,315
Golosa,NOV,2021,1,1026
Golosa,DIC,2021,1,3288
Choca,ENE,2021,1,907
Choca,FEB,2021,1,611
Choca,MAR,2021,1,108
Choca,ABR,2021,1,377
Choca,MAY,2021,1,0
Choca,JUN,2021,1,220
Choca,JUL,2021,1,17
Choca,AGO,2021,1,856
Choca,SEP,2021,1,18
Choca,OCT,2021,1,280
Choca,NOV,2021,1,6063
Choca,DIC,2021,1,1113
Marianito,ENE,2021,1,278
Marianito,FEB,2021,1,516
Marianito,MAR,2021,1,854
Marianito,ABR,2021,1,731
Marianito,MAY,2021,1,195
Marianito,JUN,2021,1,75
Marianito,JUL,2021,1,103
Marianito,AGO,2021,1,391
Marianito,SEP,2021,1,34
Marianito,OCT,2021,1,90
Marianito,NOV,2021,1,342
Marianito,DIC,2021,1,1010
Barbudo,ENE,2021,1,211
Barbudo,FEB,2021,1,337
Barbudo,MAR,2021,1,433
Barbudo,ABR,2021,1,593
Barbudo,MAY,2021,1,86
Barbudo,JUN,2021,1,134
Barbudo,JUL,2021,1,101
Barbudo,AGO,2021,1,181
Barbudo,SEP,2021,1,52
Barbudo,OCT,2021,1,77
Barbudo,NOV,2021,1,152
Barbudo,DIC,2021,1,640
Camarón,ENE,2021,1,48
Camarón,FEB,2021,1,110
Camarón,MAR,2021,1,318
Camarón,ABR,2021,1,254
Camarón,MAY,2021,1,15
Camarón,JUN,2021,1,31
Camarón,JUL,2021,1,7
Camarón,AGO,2021,1,11
Camarón,SEP,2021,1,21
Camarón,OCT,2021,1,9
Camarón,NOV,2021,1,323
Camarón,DIC,2021,1,325
Bocachico,ENE,2021,1,103
Bocachico,FEB,2021,1,49
Bocachico,MAR,2021,1,66
Bocachico,ABR,2021,1,39
Bocachico,MAY,2021,1,17
Bocachico,JUN,2021,1,4
Bocachico,JUL,2021,1,31
Bocachico,AGO,2021,1,52
Bocachico,SEP,2021,1,0
Bocachico,OCT,2021,1,0
Bocachico,NOV,2021,1,146
Bocachico,DIC,2021,1,141
Choca,ENE,2021,2,178
Choca,FEB,2021,2,406
Choca,MAR,2021,2,199
Choca,ABR,2021,2,124
Choca,MAY,2021,2,0
